Id,Name,Rating,Current Price,Original Price,Discount,Features,,,
69,SAMSUNG Convertible 5,4.1,"32,990","62,390",47%,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
70,SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi,4,"45,490","72,990",37%,Annual Power Usage: 749.48 WRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
71,CARRIER 2024 Model AI Flexicool Convertible 6,3.9,"34,990","67,790",48%,"Annual Power Usage: 964.1 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
72,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
73,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
74,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
75,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
76,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
77,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
78,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
