Id,Name,Rating,Current Price,Original Price,Discount,Features,,,
226,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4,4.1,"26,490","47,999",44%,Annual Power Usage: 675.18 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
227,LG AI Convertible 6,4.1,"37,690","78,990",52%,"Annual Power Usage: 852.44 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",,,
228,Blue Star 1.5 Ton 5 Star Split Inverter AC,4.1,"43,990","74,000",40%,"Annual Power Usage: 770.98 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",,,
229,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"33,490","50,900",34%,Annual Power Usage: 779.15 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida,,,
230,Voltas 2 Ton 3 Star Split Inverter AC,3.9,"43,990","79,990",45%,Annual Power Usage: 1207.93 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
231,IFB AI Convertible 8,3.8,"39,990","71,990",44%,"Annual Power Usage: 706.85 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
232,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC,3.9,"35,990","61,250",41%,"Annual Power Usage: 1006.84 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",,,
233,Lloyd 1.5 Ton 5 Star Split Inverter AC,4.1,"39,990","66,990",40%,Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
234,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
235,Lloyd 1.5 Ton 3 Star Split Inverter AC,4.1,"32,990","58,990",44%,Annual Power Usage: 941.66 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
236,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4,4.1,"29,990","48,000",37%,"Annual Power Usage: 959.9 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
237,SAMSUNG Convertible 5,4.1,"32,990","62,390",47%,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
238,SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi,4,"45,490","72,990",37%,Annual Power Usage: 749.48 WRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
239,CARRIER 2024 Model AI Flexicool Convertible 6,3.9,"34,990","67,790",48%,"Annual Power Usage: 964.1 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
240,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
241,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
242,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
243,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
244,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
245,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
246,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
247,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter,4.1,"45,490","67,200",32%,"Annual Power Usage: 785.67 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",,,
248,Voltas 1.5 Ton 5 Star Split Inverter AC,3.9,"38,990","75,990",48%,Annual Power Usage: 751.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
249,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi,4.1,"36,990","55,400",33%,"Annual Power Usage: 1002.31 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
250,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4,4.1,"26,490","47,999",44%,Annual Power Usage: 675.18 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
251,LG AI Convertible 6,4.1,"37,690","78,990",52%,"Annual Power Usage: 852.44 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",,,
252,Blue Star 1.5 Ton 5 Star Split Inverter AC,4.1,"43,990","74,000",40%,"Annual Power Usage: 770.98 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",,,
253,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"33,490","50,900",34%,Annual Power Usage: 779.15 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida,,,
254,Voltas 2 Ton 3 Star Split Inverter AC,3.9,"43,990","79,990",45%,Annual Power Usage: 1207.93 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
255,IFB AI Convertible 8,3.8,"39,990","71,990",44%,"Annual Power Usage: 706.85 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
256,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC,3.9,"35,990","61,250",41%,"Annual Power Usage: 1006.84 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",,,
257,Lloyd 1.5 Ton 5 Star Split Inverter AC,4.1,"39,990","66,990",40%,Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
258,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
259,Lloyd 1.5 Ton 3 Star Split Inverter AC,4.1,"32,990","58,990",44%,Annual Power Usage: 941.66 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
260,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4,4.1,"29,990","48,000",37%,"Annual Power Usage: 959.9 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
261,SAMSUNG Convertible 5,4.1,"32,990","62,390",47%,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
262,SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi,4,"45,490","72,990",37%,Annual Power Usage: 749.48 WRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
263,CARRIER 2024 Model AI Flexicool Convertible 6,3.9,"34,990","67,790",48%,"Annual Power Usage: 964.1 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
264,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
265,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
266,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
267,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
268,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
269,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
270,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
271,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter,4.1,"45,490","67,200",32%,"Annual Power Usage: 785.67 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",,,
272,Voltas 1.5 Ton 5 Star Split Inverter AC,3.9,"38,990","75,990",48%,Annual Power Usage: 751.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
273,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi,4.1,"36,990","55,400",33%,"Annual Power Usage: 1002.31 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
274,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4,4.1,"26,490","47,999",44%,Annual Power Usage: 675.18 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
275,LG AI Convertible 6,4.1,"37,690","78,990",52%,"Annual Power Usage: 852.44 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",,,
276,Blue Star 1.5 Ton 5 Star Split Inverter AC,4.1,"43,990","74,000",40%,"Annual Power Usage: 770.98 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",,,
277,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"33,490","50,900",34%,Annual Power Usage: 779.15 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida,,,
278,Voltas 2 Ton 3 Star Split Inverter AC,3.9,"43,990","79,990",45%,Annual Power Usage: 1207.93 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
279,IFB AI Convertible 8,3.8,"39,990","71,990",44%,"Annual Power Usage: 706.85 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
280,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC,3.9,"35,990","61,250",41%,"Annual Power Usage: 1006.84 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",,,
281,Lloyd 1.5 Ton 5 Star Split Inverter AC,4.1,"39,990","66,990",40%,Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
282,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
283,Lloyd 1.5 Ton 3 Star Split Inverter AC,4.1,"32,990","58,990",44%,Annual Power Usage: 941.66 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
284,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4,4.1,"29,990","48,000",37%,"Annual Power Usage: 959.9 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
285,SAMSUNG Convertible 5,4.1,"32,990","62,390",47%,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
286,SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi,4,"45,490","72,990",37%,Annual Power Usage: 749.48 WRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
287,CARRIER 2024 Model AI Flexicool Convertible 6,3.9,"34,990","67,790",48%,"Annual Power Usage: 964.1 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
288,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
289,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
290,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
291,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
292,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
293,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
294,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
295,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter,4.1,"45,490","67,200",32%,"Annual Power Usage: 785.67 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",,,
296,Voltas 1.5 Ton 5 Star Split Inverter AC,3.9,"38,990","75,990",48%,Annual Power Usage: 751.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
297,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi,4.1,"36,990","55,400",33%,"Annual Power Usage: 1002.31 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
298,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4,4.1,"26,490","47,999",44%,Annual Power Usage: 675.18 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
299,LG AI Convertible 6,4.1,"37,690","78,990",52%,"Annual Power Usage: 852.44 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",,,
300,Blue Star 1.5 Ton 5 Star Split Inverter AC,4.1,"43,990","74,000",40%,"Annual Power Usage: 770.98 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",,,
301,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"33,490","50,900",34%,Annual Power Usage: 779.15 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida,,,
302,Voltas 2 Ton 3 Star Split Inverter AC,3.9,"43,990","79,990",45%,Annual Power Usage: 1207.93 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
303,IFB AI Convertible 8,3.8,"39,990","71,990",44%,"Annual Power Usage: 706.85 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
304,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC,3.9,"35,990","61,250",41%,"Annual Power Usage: 1006.84 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",,,
305,Lloyd 1.5 Ton 5 Star Split Inverter AC,4.1,"39,990","66,990",40%,Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
306,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
307,Lloyd 1.5 Ton 3 Star Split Inverter AC,4.1,"32,990","58,990",44%,Annual Power Usage: 941.66 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
308,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4,4.1,"29,990","48,000",37%,"Annual Power Usage: 959.9 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
309,SAMSUNG Convertible 5,4.1,"32,990","62,390",47%,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
310,SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi,4,"45,490","72,990",37%,Annual Power Usage: 749.48 WRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
311,CARRIER 2024 Model AI Flexicool Convertible 6,3.9,"34,990","67,790",48%,"Annual Power Usage: 964.1 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
312,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
313,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
314,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
315,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
316,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
317,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
318,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
319,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter,4.1,"45,490","67,200",32%,"Annual Power Usage: 785.67 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",,,
320,Voltas 1.5 Ton 5 Star Split Inverter AC,3.9,"38,990","75,990",48%,Annual Power Usage: 751.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
321,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi,4.1,"36,990","55,400",33%,"Annual Power Usage: 1002.31 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
322,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4,4.1,"26,490","47,999",44%,Annual Power Usage: 675.18 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
323,LG AI Convertible 6,4.1,"37,690","78,990",52%,"Annual Power Usage: 852.44 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",,,
324,Blue Star 1.5 Ton 5 Star Split Inverter AC,4.1,"43,990","74,000",40%,"Annual Power Usage: 770.98 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",,,
325,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"33,490","50,900",34%,Annual Power Usage: 779.15 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida,,,
326,Voltas 2 Ton 3 Star Split Inverter AC,3.9,"43,990","79,990",45%,Annual Power Usage: 1207.93 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
327,IFB AI Convertible 8,3.8,"39,990","71,990",44%,"Annual Power Usage: 706.85 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
328,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC,3.9,"35,990","61,250",41%,"Annual Power Usage: 1006.84 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",,,
329,Lloyd 1.5 Ton 5 Star Split Inverter AC,4.1,"39,990","66,990",40%,Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
330,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
331,Lloyd 1.5 Ton 3 Star Split Inverter AC,4.1,"32,990","58,990",44%,Annual Power Usage: 941.66 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
332,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4,4.1,"29,990","48,000",37%,"Annual Power Usage: 959.9 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
333,SAMSUNG Convertible 5,4.1,"32,990","62,390",47%,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
334,SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi,4,"45,490","72,990",37%,Annual Power Usage: 749.48 WRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,,,
335,CARRIER 2024 Model AI Flexicool Convertible 6,3.9,"34,990","67,790",48%,"Annual Power Usage: 964.1 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
336,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
337,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
338,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
339,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
340,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
341,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
342,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
